project,code_smell
Task_ClassEval_0__k0,Refactor this function to reduce its Cognitive Complexity from 23 to the 15 allowed.
Task_ClassEval_0__k0,Define a constant instead of duplicating this literal '/api/data' 3 times.
Task_ClassEval_0__k0,Define a constant instead of duplicating this literal '/login/data' 3 times.
Task_ClassEval_13__k0,Replace this generic exception class with a more specific one.
Task_ClassEval_13__k0,Replace this generic exception class with a more specific one.
Task_ClassEval_18__k0,Update this function so that its implementation is not identical to _convert_key on line 20.
Task_ClassEval_25__k0,Specify an exception class to catch or reraise the exception
Task_ClassEval_33__k0,"Rename this field ""FidelityPromo"" to match the regular expression ^[_a-z][_a-z0-9]*$."
Task_ClassEval_33__k0,"Rename this field ""BulkItemPromo"" to match the regular expression ^[_a-z][_a-z0-9]*$."
Task_ClassEval_33__k0,"Rename this field ""LargeOrderPromo"" to match the regular expression ^[_a-z][_a-z0-9]*$."
Task_ClassEval_35__k0,"Remove the unused local variable ""directions""."
Task_ClassEval_38__k0,"Rename this parameter ""N"" to match the regular expression ^[_a-z][a-z0-9_]*$."
Task_ClassEval_38__k0,Remove this if statement or edit its code blocks so that they're not all the same.
Task_ClassEval_40__k0,"Rename method ""get_BMI"" to match the regular expression ^[a-z_][a-z0-9_]*$."
Task_ClassEval_44__k0,Remove this unused class-private '__format_line_feed' method.
Task_ClassEval_44__k0,"Remove the unused local variable ""code""."
Task_ClassEval_46__k0,"Correct one of the identical sub-expressions on both sides of operator ""<""."
Task_ClassEval_46__k0,"Correct one of the identical sub-expressions on both sides of operator "">""."
Task_ClassEval_46__k0,"Correct one of the identical sub-expressions on both sides of operator ""<""."
Task_ClassEval_46__k0,"Correct one of the identical sub-expressions on both sides of operator "">""."
Task_ClassEval_51__k0,"Rename this parameter ""N"" to match the regular expression ^[_a-z][a-z0-9_]*$."
Task_ClassEval_51__k0,"Rename this local variable ""P_bar"" to match the regular expression ^[_a-z][a-z0-9_]*$."
Task_ClassEval_51__k0,"Rename this local variable ""P_e"" to match the regular expression ^[_a-z][a-z0-9_]*$."
Task_ClassEval_55__k0,Define a constant instead of duplicating this literal 'a|b|a|b|a' 3 times.
Task_ClassEval_55__k0,"Remove the unused function parameter ""s""."
Task_ClassEval_55__k0,Define a constant instead of duplicating this literal 'a|b|a|b|a|x' 3 times.
Task_ClassEval_55__k0,Update this function so that its implementation is not identical to test_palindromic_string_2 on line 54.
Task_ClassEval_57__k0,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.
Task_ClassEval_57__k0,Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.
Task_ClassEval_58__k0,"Rename method ""generate_playerMap"" to match the regular expression ^[a-z_][a-z0-9_]*$."
Task_ClassEval_62__k0,"Add a nested comment explaining why this method is empty, or complete the implementation."
Task_ClassEval_6__k0,"Rename method ""setNum"" to match the regular expression ^[a-z_][a-z0-9_]*$."
Task_ClassEval_70__k0,"Rename this parameter ""phoneNumber"" to match the regular expression ^[_a-z][a-z0-9_]*$."
Task_ClassEval_70__k0,"Rename this field ""phoneNumber"" to match the regular expression ^[_a-z][_a-z0-9]*$."
Task_ClassEval_77__k0,"Rename this parameter ""SCREEN_WIDTH"" to match the regular expression ^[_a-z][a-z0-9_]*$."
Task_ClassEval_77__k0,"Rename this parameter ""BLOCK_SIZE"" to match the regular expression ^[_a-z][a-z0-9_]*$."
Task_ClassEval_77__k0,"Rename this parameter ""SCREEN_HEIGHT"" to match the regular expression ^[_a-z][a-z0-9_]*$."
Task_ClassEval_80__k0,"Define a constant instead of duplicating this literal "" AND "" 3 times."
Task_ClassEval_80__k0,"Define a constant instead of duplicating this literal "" WHERE "" 3 times."
Task_ClassEval_81__k0,"Remove the unused local variable ""means""."
Task_ClassEval_89__k0,Specify an exception class to catch or reraise the exception
Task_ClassEval_89__k0,Update this function so that its implementation is not identical to answer on line 10.
Task_ClassEval_89__k0,Specify an exception class to catch or reraise the exception
Task_ClassEval_8__k0,"Define a constant instead of duplicating this literal ""Invalid amount"" 3 times."
Task_ClassEval_91__k0,"Remove the unused function parameter ""encoding""."
Task_ClassEval_91__k0,Define a constant instead of duplicating this literal '/foo/bar/' 4 times.
Task_ClassEval_91__k0,"Consider using ""assertTrue"" instead."
Task_ClassEval_91__k0,"Consider using ""assertFalse"" instead."
Task_ClassEval_91__k0,"Consider using ""assertTrue"" instead."
Task_ClassEval_91__k0,"Consider using ""assertFalse"" instead."
Task_ClassEval_91__k0,"Consider using ""assertFalse"" instead."
Task_ClassEval_91__k0,"Consider using ""assertFalse"" instead."
Task_ClassEval_91__k0,"Consider using ""assertTrue"" instead."
Task_ClassEval_91__k0,"Consider using ""assertTrue"" instead."
Task_ClassEval_98__k0,Define a constant instead of duplicating this literal 'test.xml' 3 times.
Task_ClassEval_98__k0,Remove this assignment to local variable 'root'; the value is never used.